distance,sensor,trial,averageSum,x,y,magnitude
12.5,bumper,1,0.1302,8.5,0,8.5
12.5,bumper,2,0.0992,8.6,0,8.6
12.5,bumper,3,0.0798,9.4,0,9.4
12.5,bumper,4,0.1226,8.4,0,8.4
12.5,bumper,5,0.1006,8.6,0,8.6
12.5,bumper,6,0.1322,8.5,0,8.5
12.5,bumper,7,0.132,9.2,0,9.2
12.5,bumper,8,0.12,8.6,0,8.6
12.5,bumper,9,0.1304,8.5,0,8.5
12.5,bumper,10,0.1498,8.7,0,8.7
10.5,bumper,1,0.1366,7.8,0,7.8
10.5,bumper,2,0.1612,8,0,8
10.5,bumper,3,0.1632,8,0,8
10.5,bumper,4,0.143,7.8,0,7.8
10.5,bumper,5,0.1212,7.7,0,7.7
10.5,bumper,6,0.1394,7.5,0,7.5
10.5,bumper,7,0.146,7.7,0,7.7
10.5,bumper,8,0.1336,7.7,0,7.7
10.5,bumper,9,0.1344,7.6,0,7.6
10.5,bumper,10,0.0966,7.8,0,7.8
8.5,bumper,1,0.122,6.7,0,6.7
8.5,bumper,2,0.1378,7.2,0,7.2
8.5,bumper,3,0.1234,6.7,0,6.7
8.5,bumper,4,0.1436,6.8,0,6.8
8.5,bumper,5,0.1532,7,0,7
8.5,bumper,6,0.1642,7,0,7
8.5,bumper,7,0.183,7.3,0,7.3
8.5,bumper,8,0.1448,7.1,0,7.1
8.5,bumper,9,0.1448,7.1,0,7.1
8.5,bumper,10,0.1408,7.1,0,7.1
6.5,bumper,1,0.1532,5.9,0,5.9
6.5,bumper,2,0.151,6,0,6
6.5,bumper,3,0.1756,6.1,0,6.1
6.5,bumper,4,0.1736,6.2,0,6.2
6.5,bumper,5,0.1662,6.3,0,6.3
6.5,bumper,6,0.1384,6.4,0,6.4
6.5,bumper,7,0.1536,6.5,0,6.5
6.5,bumper,8,0.1222,6.3,0,6.3
6.5,bumper,9,0.1614,6.5,0,6.5
6.5,bumper,10,0.1614,6.1,0,6.1
4.5,bumper,1,0.161,5.4,0,5.4
4.5,bumper,2,0.1524,5.5,0,5.5
4.5,bumper,3,0.159,5.2,0,5.2
4.5,bumper,4,0.1338,5.3,0,5.3
4.5,bumper,5,0.162,5.3,0,5.3
4.5,bumper,6,0.1588,4.8,0,4.8
4.5,bumper,7,0.1322,5.8,0,5.8
4.5,bumper,8,0.183,5.2,0,5.2
4.5,bumper,9,0.1846,5.2,0,5.2
4.5,bumper,10,0.1792,5.4,0,5.4
2.5,bumper,1,0.165102041,6.5,0,6.5
2.5,bumper,2,0.143673469,6,0,6
2.5,bumper,3,0.172653061,6.2,0,6.2
2.5,bumper,4,0.157346939,6.2,0,6.2
2.5,bumper,5,0.183265306,6.2,0,6.2
2.5,bumper,6,0.19,5.7,0,5.7
2.5,bumper,7,0.161632653,5.5,0,5.5
2.5,bumper,8,0.2,5.5,0,5.5
2.5,bumper,9,0.162653061,4.8,0,4.8
2.5,bumper,10,0.202653061,4.8,0,4.8
8.5,line,1,0.217,43,31,53.00943312
8.5,line,2,0.2366,41,30,50.80354318
8.5,line,3,0.2196,41,20,45.61797891
8.5,line,4,0.2464,43,23,48.76474136
8.5,line,5,0.2268,37,14,39.56008089
8.5,line,6,0.2246,40,18,43.8634244
8.5,line,7,0.2238,44,24,50.11985634
8.5,line,8,0.2358,39,20,43.829214
8.5,line,9,0.2384,40,24,46.64761516
8.5,line,10,0.2188,42,26,49.39635614
6.5,line,1,0.257,39,9,40.02499219
6.5,line,2,0.2218,35,6.2,35.54490118
6.5,line,3,0.2714,34,6.7,34.65385981
6.5,line,4,0.2802,34,7,34.71310992
6.5,line,5,0.2732,37,7,37.65634077
6.5,line,6,0.2894,39,7,39.62322551
6.5,line,7,0.267,36.6,6.5,37.17270504
6.5,line,8,0.3264,38,8,38.83297568
6.5,line,9,0.2772,35,5,35.35533906
6.5,line,10,0.2304,30,5,30.41381265
4.5,line,1,0.177,12,0,12
4.5,line,2,0.216,11.4,0,11.4
4.5,line,3,0.2048,12.3,0,12.3
4.5,line,4,0.2184,12.3,0,12.3
4.5,line,5,0.1938,12,0,12
4.5,line,6,0.1946,12.4,0,12.4
4.5,line,7,0.2096,13.7,0,13.7
4.5,line,8,0.1996,12.8,0,12.8
4.5,line,9,0.209,13.4,0,13.4
4.5,line,10,0.222,12.7,0,12.7
2.5,line,1,0.2088,10.7,0,10.7
2.5,line,2,0.228,11.2,0,11.2
2.5,line,3,0.1902,11.4,0,11.4
2.5,line,4,0.2188,11.1,0,11.1
2.5,line,5,0.2206,11.6,0,11.6
2.5,line,6,0.2134,15.5,0,15.5
2.5,line,7,0.2672,15.7,0,15.7
2.5,line,8,0.2206,12.6,0,12.6
2.5,line,9,0.2188,14,0,14
2.5,line,10,0.2162,14.2,0,14.2
