distance,ratio (line to bumper),trial,averageSum,x,y,magnitude
6.5,25/75,1,0.274,70,59,91.54780172
6.5,25/75,2,0.2806,69,56,88.86506625
6.5,25/75,3,0.2792,69,72,99.72462083
6.5,25/75,4,0.2718,73,74,103.9471019
6.5,25/75,5,0.2674,71,74,102.5524256
6.5,25/75,6,0.2802,74,76.5,106.434252
6.5,25/75,7,0.2678,73,74,103.9471019
6.5,25/75,8,0.2692,74,73,103.9471019
6.5,25/75,9,0.2742,73,74,103.9471019
6.5,25/75,10,0.2724,71,74,102.5524256
6.5,50/50,1,0.2788,86,74,113.4548368
6.5,50/50,2,0.2772,73,74,103.9471019
6.5,50/50,3,0.2734,86,74,113.4548368
6.5,50/50,4,0.2728,74,74,104.6518036
6.5,50/50,5,0.279,83,74,111.1980216
6.5,50/50,6,0.286,84,71,109.9863628
6.5,50/50,7,0.2704,73,74,103.9471019
6.5,50/50,8,0.281,82,74,110.4536102
6.5,50/50,9,0.2628,80,74,108.9770618
6.5,50/50,10,0.2702,82,71,108.4665847
6.5,75/25,1,0.2672,72,74,103.247276
6.5,75/25,2,0.2318,72,92,116.8246549
6.5,75/25,3,0.268,73,70,101.1385189
6.5,75/25,4,0.2642,72,77,105.4182147
6.5,75/25,5,0.2682,71,74,102.5524256
6.5,75/25,6,0.2678,72,82,109.1237829
6.5,75/25,7,0.2728,72,90,115.2562363
6.5,75/25,8,0.2772,72,88,113.7013632
6.5,75/25,9,0.2754,72,74,103.247276
6.5,75/25,10,0.2768,72,91,116.0387866
4.5,25/75,1,0.2788,74,74,104.6518036
4.5,25/75,2,0.2778,73,75,104.6613587
4.5,25/75,3,0.2636,73,74,103.9471019
4.5,25/75,4,0.2776,73,73,103.2375901
4.5,25/75,5,0.2702,75,68,101.2373449
4.5,25/75,6,0.2728,73,71,101.8331969
4.5,25/75,7,0.282,72,76,104.6900186
4.5,25/75,8,0.2776,70,73,101.1385189
4.5,25/75,9,0.2624,71,70,99.70456359
4.5,25/75,10,0.281,73,71,101.8331969
4.5,50/50,1,0.257959184,73,83,110.5350623
4.5,50/50,2,0.252653061,73,81.5,109.4132076
4.5,50/50,3,0.244489796,73,82,109.7861558
4.5,50/50,4,0.252653061,72,88,113.7013632
4.5,50/50,5,0.253877551,71,85,110.7519752
4.5,50/50,6,0.253469388,75,81,110.390217
4.5,50/50,7,0.249183673,72,83,109.8772042
4.5,50/50,8,0.277959184,73,73,103.2375901
4.5,50/50,9,0.277142857,71,74,102.5524256
4.5,50/50,10,0.27877551,70,73,101.1385189
4.5,75/25,1,0.2768,71,83,109.2245394
4.5,75/25,2,0.2756,73,81,109.0412766
4.5,75/25,3,0.266367347,73,83,110.5350623
4.5,75/25,4,0.2746,73,82,109.7861558
4.5,75/25,5,0.2714,73,9,73.55270219
4.5,75/25,6,0.2714,72,86,112.1605991
4.5,75/25,7,0.2774,71,90,114.6342008
4.5,75/25,8,0.268,70,80,106.3014581
4.5,75/25,9,0.2766,70,92,115.6027681
4.5,75/25,10,0.27,70,79,105.5509356
2.5,25/75,1,0.2734,71,75,103.2763284
2.5,25/75,2,0.279,71,72,101.1187421
2.5,25/75,3,0.279,73,72,102.5329215
2.5,25/75,4,0.2794,73,75,104.6613587
2.5,25/75,5,0.2738,73,77,106.1037228
2.5,25/75,6,0.274,73,71,101.8331969
2.5,25/75,7,0.2778,71,74,102.5524256
2.5,25/75,8,0.2782,75,70,102.5914226
2.5,25/75,9,0.2824,70,78,104.8045801
2.5,25/75,10,0.2738,73,78,106.8316433
2.5,50/50,1,0.280816327,71,82,108.4665847
2.5,50/50,2,0.288979592,71,92,116.211015
2.5,50/50,3,0.248367347,69,64,94.11163584
2.5,50/50,4,0.248571429,73,68,99.76472322
2.5,50/50,5,0.246938776,71,82,108.4665847
2.5,50/50,6,0.288571429,69,83.5,108.3201274
2.5,50/50,7,0.239387755,71,82,108.4665847
2.5,50/50,8,0.240612245,68,78,103.4794666
2.5,50/50,9,0.275714286,71,85,110.7519752
2.5,50/50,10,0.283469388,71,83,109.2245394
2.5,75/25,1,0.277,73,86,112.8051417
2.5,75/25,2,0.2746,71,83,109.2245394
2.5,75/25,3,0.275,72,87,112.9291813
2.5,75/25,4,0.2706,73,88,114.3372205
2.5,75/25,5,0.2784,73,86,112.8051417
2.5,75/25,6,0.2552,73,82,109.7861558
2.5,75/25,7,0.2772,71,85,110.7519752
2.5,75/25,8,0.27,70,86,110.8873302
2.5,75/25,9,0.2706,71,84.5,110.3687003
2.5,75/25,10,0.2772,69,79.5,105.2675164
